split,model,n,spearman,fold_mean,fold_sd,auroc,within_pos,top10_enrich,ci_lo,ci_hi,delta_lo,delta_hi,delta_mean,ref
block,site_ridge,8117,0.0615275989608307,0.0694080673818675,0.0493576949177762,0.5292097427896632,0.0,1.2330456226880393,0.0326009391265356,0.0882891784287921,-0.0945156134416951,-0.0414075896677032,-0.0678121477307717,M1_sub
block,E_twostage,8117,0.1183438111488066,0.1385143579492571,0.0614765245637427,0.5559217959445153,0.1228590600207629,0.9001233045622687,0.0946868009602853,0.1409077140939453,-0.0204880156832053,0.0006203557922586,-0.0099444274521159,M1_sub
block,E_ridge,8117,0.1214664294572962,0.1423464857440309,0.0559395542242569,0.5576038304403834,0.122706208452547,0.9864364981504316,0.0964029156504062,0.1445060944436549,-0.0188538984097167,0.005342576654877,-0.0073253966190393,M1_sub
block,E_nowindow,8117,0.1182126376394383,0.1422306769975071,0.0625989793022916,0.5545852386029573,0.1318082045885744,0.8261405672009864,0.0954340053717028,0.1414907453622876,-0.0185432338063774,-0.0023664314347047,-0.0102054578716426,M1_sub
block,E_shufctx,8117,0.1185627093973666,0.1361623920102036,0.0661879631954226,0.5563593112968632,0.121388549715771,0.8877928483353883,0.0965323542982385,0.1408771245316711,-0.0203258051680619,-0.000577833720715,-0.010006344536534,M1_sub
block,M2_shuffleY,8117,-0.0367238318820513,-0.0113216237281939,0.0392051384171863,0.4776225149231195,3.570395495816635e-05,0.9864364981504316,-0.063448235521101,-0.0086662643448542,-0.1995866563001548,-0.1333545937883061,-0.1651320655981179,M1_sub
block,E_shuffleY,8117,-0.0191190287120278,0.0123683753335282,0.0304865640783488,0.4911879192943997,-0.0097034412467821,1.035758323057953,-0.04171994022938,0.0022876494992978,-0.1784337454960423,-0.117266869997685,-0.1482881453436272,M1_sub
domain,blosum,8117,0.1122921395206152,0.1196825821844048,0.0493350623158863,0.5534610794380717,0.0979017134946703,1.097410604192355,0.0915862643352164,0.1333980589422071,-0.0036681285262583,0.0392404200286707,0.0180589065652673,M1_sub
domain,local_mean,8117,-0.0380315120489597,0.0197563676660817,0.0311314547510145,0.4829328943184141,0.0,0.5918618988902589,-0.0631449341093057,-0.0114164249289485,-0.1649542510848858,-0.1019479807398207,-0.1335692331454105,M1_sub
domain,A1_artifact,8117,0.0846253643734481,0.1542699541523361,0.0284443094410902,0.5384698722429673,0.1322254319882138,0.9001233045622687,0.0646169219531424,0.1071256359186753,-0.01971391466956,0.0019702261868382,-0.0090007801841312,M1_sub
domain,M1_sub,8117,0.0939672192441477,0.1564388379937785,0.044728711482765,0.5437479229176448,0.1284537624121293,0.813810110974106,0.0721029400235064,0.1169879551572485,,,,M1_sub
domain,M2_sub_ctx,8117,0.0487033034665008,0.0995823678269652,0.0291742331126654,0.5229643500117962,0.1147065613091058,1.097410604192355,0.0266646674294538,0.0753766476913712,-0.0689606064132394,-0.0226307573134625,-0.0455638076646163,M1_sub
domain,site_only,8117,-0.01593932943632,0.0468639750331661,0.0171939020813702,0.493216311257158,0.0,0.9617755856966708,-0.0414304708753414,0.0094631237399148,-0.1404481819589553,-0.0795322336126332,-0.1108889055088441,M1_sub
domain,site_ridge,8117,0.0357661907411499,0.0580764021546289,0.0259537986534405,0.5169004837590828,0.0,1.3316892725030829,0.0065062265015447,0.0616875445435057,-0.086310025524846,-0.0334668108262839,-0.0597342530054035,M1_sub
domain,E_twostage,8117,0.0741026466110953,0.1359324588232376,0.0408458258129272,0.5344518220709784,0.1139933424749132,0.8384710234278667,0.0519728659248506,0.098287327573435,-0.0290928743108991,-0.0107494466162524,-0.019810263970717,M1_sub
domain,E_ridge,8117,0.0903443731720841,0.1456412289142713,0.03994675800079,0.543164032832138,0.1090904930755898,0.9247842170160296,0.0687528900694835,0.1138112586245067,-0.0156516067269304,0.0094618814919959,-0.0038549609888873,M1_sub
domain,E_shufctx,8117,0.0747112907144042,0.1377165938334342,0.0467531599313375,0.5359028200479594,0.1092013777972506,0.8384710234278667,0.0521100833518912,0.0986701121803319,-0.029461731849365,-0.0103773928098971,-0.0199453740464916,M1_sub
posgroup,blosum,8117,0.1122921395206152,0.1125501044887449,0.0294506224254448,0.5534610794380717,0.0979017134946703,1.097410604192355,0.0915862643352164,0.1333980589422071,-0.0627669761880898,-0.0216367019701359,-0.0406525544672713,M1_sub
posgroup,local_mean,8117,0.1546227855836462,0.1576746279990556,0.0301699927186764,0.5761345316755286,0.0,1.3316892725030829,0.1297927983982446,0.1830408129209735,-0.0300362072369287,0.0351759144048507,0.000151184353075,M1_sub
posgroup,M1_sub,8117,0.1530420726120643,0.1554211213915372,0.0325506278791666,0.5718239445264652,0.1384985918304223,0.8754623921085081,0.1319475151525913,0.1748560964402,,,,M1_sub
posgroup,M2_sub_ctx,8117,0.1422871418245133,0.1434518557843505,0.032733759914249,0.5702317929805939,0.1017697100997356,1.3070283600493218,0.120290202092735,0.1651673956903889,-0.0338913494429924,0.0079854093523624,-0.0115183390710953,M1_sub
posgroup,E_twostage,8117,0.1248930652885383,0.1256869626142271,0.0262570163692305,0.5583140302033425,0.1220360549309446,1.035758323057953,0.1032162059094128,0.1487388573316822,-0.0400718984724676,-0.0176573889601219,-0.0281099416479779,M1_sub
random,blosum,8117,0.1122921395206152,0.1119604511678187,0.0383333499663523,0.5534610794380717,0.0979017134946703,1.097410604192355,0.0915862643352164,0.1333980589422071,-0.0595935708783747,-0.0173837686694784,-0.0373699792138733,M1_sub
random,local_mean,8117,0.1671567223097218,0.1702024216115333,0.0278338358289178,0.5821175002376844,-0.1592421198043594,1.4303329223181256,0.1415110512741389,0.1956289569890269,-0.0158374248028736,0.0502959614380331,0.0156946843228655,M1_sub
random,posmean,8117,0.1628265163331345,0.1638373875625175,0.0201907368394112,0.5841630127623468,-0.7507861945624896,1.4303329223181256,0.1316339491495279,0.1919259582907747,-0.0267618140308433,0.0470214938593483,0.0109573435613009,M1_sub
random,M1_sub,8117,0.1498561443990549,0.152731748110267,0.01939053072241,0.5703889439539586,0.131034084273668,0.8877928483353883,0.1287509544040921,0.1710904177635297,,,,M1_sub
random,M2_sub_ctx,8117,0.1974898659023858,0.198484355453244,0.0178624981925509,0.601008097540091,-0.039820558043616,1.3563501849568431,0.176135955537014,0.2217126549576634,0.027178245841618,0.0677713084109389,0.0467533539549349,M1_sub
random,E_twostage,8117,0.1956450348440242,0.1968619676909088,0.0280010813276031,0.5989962493827188,-0.0064520237816967,1.2453760789149195,0.1710548986669984,0.2183608612418412,0.027318308066702,0.0623829576639957,0.0451726702963329,M1_sub
